cbsa_title,DMA,outbound,inbound,netgain,pct_inbound
"Binghamton, NY",NA,104117,91725,-12392,0.46836225120249997
"Birmingham-Hoover, AL",NA,385006,372559,-12447,0.4917848633450595
"Bismarck, ND",NA,66011,52985,-13026,0.4452670678005983
"Blackfoot, ID",NA,14855,13899,-956,0.48337622591639423
"Blacksburg-Christiansburg, VA",NA,68514,56883,-11631,0.4536232924232637
"Bloomington, IL",NA,69109,62178,-6931,0.4736036317381005
"Bloomington, IN",NA,121042,67266,-53776,0.35721265161331434
"Bloomsburg-Berwick, PA",NA,30645,28510,-2135,0.48195418814977603
"Bluefield, WV-VA",NA,31503,28022,-3481,0.47076018479630405
"Blytheville, AR",NA,16124,13600,-2524,0.4575427264163639
"Bogalusa, LA",NA,14132,12313,-1819,0.46560786538097937
"Boise City, ID",NA,358076,359997,1921,0.5013376077362608
"Bonham, TX",NA,10399,11279,880,0.5202970753759572
"Boone, NC",NA,21781,18961,-2820,0.46539197879338273
"Borger, TX",NA,7786,6439,-1347,0.45265377855887523
"Boston-Cambridge-Newton, MA-NH",NA,2034119,1840257,-193862,0.47498151960470536
"Boulder, CO",NA,209801,181081,-28720,0.463262570289755
"Bowling Green, KY",NA,75497,74877,-620,0.4979384734063069
"Bozeman, MT",NA,77633,70803,-6830,0.4769934517233016
"Bradford, PA",NA,15551,13859,-1692,0.4712342740564434
"Brainerd, MN",NA,57206,53431,-3775,0.4829397037157551
"Branson, MO",NA,37485,32714,-4771,0.4660180344449351
"Breckenridge, CO",NA,18478,17140,-1338,0.4812173620079735
"Bremerton-Silverdale-Port Orchard, WA",NA,136667,122076,-14591,0.47180406812937936
"Brenham, TX",HOUSTON,10798,11388,590,0.5132966735779321
"Brevard, NC",NA,11901,13882,1981,0.5384167862545088
"Bridgeport-Stamford-Norwalk, CT",NEW YORK,334187,336445,2258,0.5016834866215749
"Brookhaven, MS",NA,7778,7440,-338,0.4888947299250887
"Brookings, OR",NA,11433,12136,703,0.5149136577708007
"Brookings, SD",NA,16282,12418,-3864,0.4326829268292683
"Brownsville-Harlingen, TX",NA,78977,95006,16029,0.5460648454159315
"Brownsville, TN",NA,5419,5265,-154,0.4927929614376638
"Brownwood, TX",NA,14596,15347,751,0.5125404936045153
"Brunswick, GA",NA,50546,51951,1405,0.5068538591373406
"Bucyrus-Galion, OH",NA,17671,16340,-1331,0.4804328011525683
"Buffalo-Cheektowaga, NY",NA,434622,404404,-30218,0.48199221478237864
"Burley, ID",NA,14116,14025,-91,0.4983831420347536
"Burlington-South Burlington, VT",NA,121541,102305,-19236,0.4570329601601101
"Burlington, IA-IL",NA,22534,17491,-5043,0.43700187382885697
"Burlington, NC",NA,56393,61232,4839,0.5205696068012753
"Butte-Silver Bow, MT",NA,15381,14688,-693,0.48847650404070636
"Cadillac, MI",NA,22785,20612,-2173,0.4749637071686983
"Calhoun, GA",NA,19752,20382,630,0.5078487068321125
"California-Lexington Park, MD",NA,37304,36738,-566,0.496177845006888
"Cambridge, MD",NA,11397,10845,-552,0.48759104397086594
"Cambridge, OH",NA,15508,13320,-2188,0.46205078396003885
"Camden, AR",NA,8088,7356,-732,0.4763014763014763
"Campbellsville, KY",NA,14818,13335,-1483,0.4736617767200654
"Cañon City, CO",NA,20953,19931,-1022,0.4875012229723119
"Canton-Massillon, OH",NA,146455,136718,-9737,0.4828073297948604
"Cape Coral-Fort Myers, FL",NA,642882,717894,75012,0.5275622145011376
"Cape Girardeau, MO-IL",NA,39314,34764,-4550,0.46928912767623315
"Carbondale-Marion, IL",NA,62391,51596,-10795,0.4526481089948854
"Carlsbad-Artesia, NM",NA,19426,17395,-2031,0.4724206295320605
"Carroll, IA",NA,7287,6276,-1011,0.46272948462729485
"Carson City, NV",NA,29664,27403,-2261,0.4801899521614944
"Casper, WY",NA,36963,36459,-504,0.4965677862221133
"Cedar City, UT",NA,21922,22402,480,0.5054146737659057
"Cedar Rapids, IA",NA,137365,116286,-21079,0.4584488135272481
"Cedartown, GA",NA,18559,15793,-2766,0.4597403353516535
"Celina, OH",NA,11052,9799,-1253,0.4699534794494269
"Central City, KY",NA,9588,8574,-1014,0.4720845721836802
"Centralia, IL",NA,16392,14340,-2052,0.4666146036704412
"Centralia, WA",NA,32075,31854,-221,0.4982715199674639
"Chambersburg-Waynesboro, PA",NA,48807,46594,-2213,0.4884015890818755
"Champaign-Urbana, IL",NA,105404,89161,-16243,0.45825816565158173
"Charleston-Mattoon, IL",NA,25424,22566,-2858,0.4702229631173161
"Charleston-North Charleston, SC",NA,385384,391467,6083,0.5039151651989893
"Charleston, WV",NA,75242,67574,-7668,0.47315426842930763
"Charlotte-Concord-Gastonia, NC-SC",NA,1097517,1149770,52253,0.5116257959041279
"Charlottesville, VA",NA,91860,87502,-4358,0.48785138435120035
"Chattanooga, TN-GA",NA,228398,226575,-1823,0.4979965844127014
"Cheyenne, WY",NA,51689,49028,-2661,0.4867897177239195
"Chicago-Naperville-Elgin, IL-IN-WI",CHICAGO,3548731,3254085,-294646,0.47834382114700735
"Chico, CA",NA,123557,92887,-30670,0.42915026519561644
"Chillicothe, OH",NA,26572,24132,-2440,0.475938781950142
"Cincinnati, OH-KY-IN",NA,819835,794226,-25609,0.49206690453458696
"Clarksburg, WV",NA,26631,23925,-2706,0.47323759791122716
"Clarksdale, MS",NA,6259,5513,-746,0.4683146449201495
"Clarksville, TN-KY",NA,171613,159600,-12013,0.4818651441821426
"Clearlake, CA",NA,24957,22966,-1991,0.4792270934624293
"Cleveland-Elyria, OH",NA,772992,739292,-33700,0.488857912931698
"Cleveland, MS",NA,7013,5829,-1184,0.4539012614857499
"Cleveland, TN",NA,47039,47191,152,0.500806537196222
"Clewiston, FL",NA,13714,17861,4147,0.5656690419635788
"Clinton, IA",NA,19469,15918,-3551,0.4498262073642863
"Clovis, NM",NA,22687,20941,-1746,0.47998991473365726
"Coeur d'Alene, ID",NA,89267,95867,6600,0.5178249268097702
"Coffeyville, KS",NA,17322,13232,-4090,0.4330693198926491
"Coldwater, MI",NA,19765,16937,-2828,0.4614734891831508
"College Station-Bryan, TX",NA,116265,102078,-14187,0.46751212541734793
"Colorado Springs, CO",NA,448665,419213,-29452,0.48303217733368053
"Columbia, MO",NA,103004,89926,-13078,0.4661068781423314
"Columbia, SC",NA,304834,306201,1367,0.5011185938612355
"Columbus, GA-AL",NA,135657,125888,-9769,0.48132443747729836
"Columbus, IN",NA,39730,34208,-5522,0.4626579025670156
"Columbus, MS",NA,20959,19357,-1602,0.4801319575354698
"Columbus, NE",NA,14244,11986,-2258,0.4569576820434617
"Columbus, OH",NA,923251,885154,-38097,0.4894666847304669
"Concord, NH",NA,60101,58492,-1609,0.4932162943849974
"Connersville, IN",NA,12997,10404,-2593,0.4445963847698816
"Cookeville, TN",NA,45658,47373,1715,0.5092173576549752
"Coos Bay, OR",NA,35659,32469,-3190,0.4765881869422264
"Cordele, GA",NA,7117,6990,-127,0.4954986885943149
"Corinth, MS",NA,11059,10801,-258,0.49409881061299177
"Cornelia, GA",NA,14169,14607,438,0.5076105087572977
"Corning, NY",NA,42647,37918,-4729,0.47065102712095824
"Corpus Christi, TX",NA,165707,162454,-3253,0.495043591407876
"Corsicana, TX",NA,14280,15671,1391,0.5232212613936096
"Cortland, NY",NA,19813,18362,-1451,0.4809954158480681
"Corvallis, OR",NA,48898,39780,-9118,0.44858927806220256
"Coshocton, OH",NA,11861,11760,-101,0.4978620718851869
"Craig, CO",NA,6205,5061,-1144,0.4492277649565063
"Crawfordsville, IN",NA,16662,14440,-2222,0.46427882451289304
"Crescent City, CA",NA,9772,9705,-67,0.49828002259074805
"Crestview-Fort Walton Beach-Destin, FL",NA,163274,188067,24793,0.5352833856566698
"Crossville, TN",NA,25491,27092,1601,0.5152235513378849
"Cullman, AL",NA,26706,28811,2105,0.5189581569609308
"Cullowhee, NC",NA,22925,22968,43,0.5004684810319656
"Cumberland, MD-WV",NA,28756,25548,-3208,0.47046258102533883
"Dallas-Fort Worth-Arlington, TX",NA,3242472,3298346,55874,0.5042711783143943
"Dalton, GA",NA,42290,38701,-3589,0.4778432171475843
"Danville, IL",NA,33599,28828,-4771,0.46178736764540984
"Danville, KY",NA,21159,20455,-704,0.49154130821358194
"Danville, VA",NA,29718,28635,-1083,0.4907202714513393
"Daphne-Fairhope-Foley, AL",NA,105266,125421,20155,0.5436847329931899
"Davenport-Moline-Rock Island, IA-IL",NA,176186,148439,-27747,0.4572629957643435
"Dayton-Kettering, OH",NA,330533,315218,-15315,0.4881417140662577
"Dayton, TN",NA,12033,12826,793,0.5159499577617764
"Decatur, AL",NA,48954,47330,-1624,0.4915666154293548
"Decatur, IL",NA,52725,40880,-11845,0.43672880722183643
"Decatur, IN",NA,10825,9334,-1491,0.46301899895828164
"Defiance, OH",NA,14549,12667,-1882,0.4654247501469724
"Del Rio, TX",NA,13907,12557,-1350,0.47449365175332525
"Deltona-Daytona Beach-Ormond Beach, FL",NA,381951,423418,41467,0.5257440999094825
"Deming, NM",NA,9457,8933,-524,0.4857531266992931
"Denver-Aurora-Lakewood, CO",NA,1667069,1595610,-71459,0.4890490299536056
"DeRidder, LA",NA,12462,11712,-750,0.4844874658724249
"Des Moines-West Des Moines, IA",NA,344103,324098,-20005,0.4850307018397159
"Detroit-Warren-Dearborn, MI",NA,1619764,1485638,-134126,0.4784044062572253
"Dickinson, ND",NA,16843,14671,-2172,0.46553912546804593
"Dixon, IL",NA,12661,10968,-1693,0.4641753777138262
"Dodge City, KS",NA,13376,9938,-3438,0.42626747876812215
"Dothan, AL",NA,61656,60019,-1637,0.4932730634888021
"Douglas, GA",NA,16192,14599,-1593,0.47413205157351174
"Dover, DE",PHILADELPHIA,62457,66135,3678,0.5143010451661068
"Dublin, GA",NA,18685,18025,-660,0.49101062380822663
"DuBois, PA",NA,19103,17583,-1520,0.4792836504388595
"Dubuque, IA",NA,40557,34890,-5667,0.4624438347449203
"Duluth, MN-WI",NA,130063,116029,-14034,0.4714862734261983
"Dumas, TX",NA,7419,4948,-2471,0.400097032425002
"Duncan, OK",NA,19378,16805,-2573,0.46444462869303266
"Durango, CO",NA,30983,31833,850,0.5067657921548651
"Durant, OK",NA,22153,20295,-1858,0.47811439879381834
"Durham-Chapel Hill, NC",RALEIGH,252929,248052,-4877,0.49513254993702355
"Dyersburg, TN",NA,15943,14268,-1675,0.47227830922511665
"Eagle Pass, TX",NA,8055,8248,193,0.5059191559835613
"East Stroudsburg, PA",NA,60639,54659,-5980,0.4740671997779667
"Easton, MD",NA,12053,13232,1179,0.5233142179157604
"Eau Claire, WI",NA,81331,70323,-11008,0.4637068590343809
"Edwards, CO",NA,22073,18316,-3757,0.4534898115823615
"Effingham, IL",NA,11728,10432,-1296,0.4707581227436823
"El Campo, TX",HOUSTON,12436,10846,-1590,0.4658534490164075
"El Centro, CA",NA,44020,45173,1153,0.5064635117105603
"El Dorado, AR",NA,13057,11325,-1732,0.46448199491428105
"El Paso, TX",NA,255804,239929,-15875,0.4839883566355276
"Elizabeth City, NC",NA,17797,19075,1278,0.5173302234758081
"Elizabethtown-Fort Knox, KY",NA,74699,68593,-6106,0.4786938559026324
"Elk City, OK",NA,9250,7656,-1594,0.45285697385543594
"Elkhart-Goshen, IN",NA,82832,69904,-12928,0.45767860884139955
"Elkins, WV",NA,8274,6757,-1517,0.44953762224735544
"Elko, NV",NA,23901,19782,-4119,0.45285351280818625
"Ellensburg, WA",NA,27435,21871,-5564,0.44357684663124164
"Elmira, NY",NA,35752,32389,-3363,0.4753232268384673
"Emporia, KS",NA,18274,13312,-4962,0.42145254226556067
"Enid, OK",NA,26316,22241,-4075,0.4580390057046358
"Enterprise, AL",NA,22490,21486,-1004,0.4885846825541204
"Erie, PA",NA,108451,96128,-12323,0.4698820504548365
"Escanaba, MI",NA,14904,13742,-1162,0.4797179361865531
"Española, NM",NA,3601,3175,-426,0.4685655253837072
"Eufaula, AL-GA",NA,6758,6456,-302,0.48857272589677614
"Eugene-Springfield, OR",NA,201710,183174,-18536,0.47592001745980606
"Eureka-Arcata, CA",NA,56085,48419,-7666,0.4633219781061012
"Evanston, WY",NA,8919,6812,-2107,0.4330303222935605
"Evansville, IN-KY",NA,142218,130500,-11718,0.4785162695531648
"Fairbanks, AK",NA,45417,36758,-8659,0.44731365987222393
"Fairfield, IA",NA,8547,7090,-1457,0.45341177975314956
"Fairmont, MN",NA,7770,6636,-1134,0.4606413994169096
"Fairmont, WV",NA,17113,14713,-2400,0.4622949789480299
"Fallon, NV",NA,11714,11338,-376,0.49184452542078777
"Fargo, ND-MN",NA,158957,126033,-32924,0.44223656970420017
"Faribault-Northfield, MN",NA,24104,22639,-1465,0.48432920437284727
"Farmington, MO",NA,29082,27579,-1503,0.48673690898501615
"Farmington, NM",NA,34662,30665,-3997,0.46940774871033414
"Fayetteville-Springdale-Rogers, AR",NA,245997,240599,-5398,0.49445330417841493
"Fayetteville, NC",RALEIGH,253148,228557,-24591,0.474475041778682
"Fergus Falls, MN",NA,26287,24674,-1613,0.48417417240634997
"Fernley, NV",NA,28315,27519,-796,0.4928717269047534
"Findlay, OH",NA,28372,24858,-3514,0.4669922975765546
"Fitzgerald, GA",NA,6669,6538,-131,0.49504050882107975
"Flagstaff, AZ",NA,66038,56677,-9361,0.46185877847043966
"Flint, MI",NA,193881,171724,-22157,0.4696981715239124
"Florence-Muscle Shoals, AL",NA,51654,51609,-45,0.4997821097585776
"Florence, SC",NA,60560,60141,-419,0.4982643060123777
"Fond du Lac, WI",NA,40258,34750,-5508,0.4632839163822526
"Forest City, NC",NA,21550,22989,1439,0.5161543815532454
"Forrest City, AR",NA,5778,5273,-505,0.4771513890145688
"Fort Collins, CO",NA,206352,193481,-12871,0.483904530141334
"Fort Dodge, IA",NA,16552,13745,-2807,0.45367528138099483
"Fort Leonard Wood, MO",NA,29350,26307,-3043,0.47266291751262196
"Fort Madison-Keokuk, IA-IL-MO",NA,23660,18884,-4776,0.44386987589319293
"Fort Morgan, CO",NA,9930,9728,-202,0.4948621426391291
"Fort Payne, AL",NA,20683,19003,-1680,0.47883384568865595
"Fort Polk South, LA",NA,21340,18473,-2867,0.463994172757642
"Fort Smith, AR-OK",NA,117707,100734,-16973,0.46114969259433897
"Fort Wayne, IN",NA,191613,168828,-22785,0.46839288538207363
"Frankfort, IN",NA,11963,10955,-1008,0.47800855222968847
"Frankfort, KY",NA,32116,32582,466,0.5036013478005502
"Fredericksburg, TX",NA,10189,11398,1209,0.5280029647473016
"Freeport, IL",NA,18166,15116,-3050,0.4541794363319512
"Fremont, NE",NA,16392,14495,-1897,0.46929128759672356
"Fremont, OH",NA,16458,15430,-1028,0.4838810837932765
"Fresno, CA",FRESNO,305091,281678,-23413,0.4800492186874221
"Gadsden, AL",NA,33292,33117,-175,0.49868240750500686
"Gaffney, SC",NA,16005,13969,-2036,0.46603723226796556
"Gainesville, FL",NA,152518,148764,-3754,0.49376995638637555
"Gainesville, GA",NA,66597,72590,5993,0.5215285910322085
"Gainesville, TX",NA,16200,14620,-1580,0.4743672939649578
"Galesburg, IL",NA,21810,16769,-5041,0.4346665284221986
"Gallup, NM",NA,8185,6309,-1876,0.43528356561335724
"Garden City, KS",NA,17845,13457,-4388,0.4299086320362916
"Gardnerville Ranchos, NV",NA,22003,22811,808,0.509015039942875
"Georgetown, SC",NA,18367,20427,2060,0.5265504974996134
"Gettysburg, PA",NA,29493,28592,-901,0.4922441249892399
"Gillette, WY",NA,27658,26579,-1079,0.49005291590611577
"Glasgow, KY",NA,19688,19952,264,0.503329969727548
"Glens Falls, NY",NA,57132,54560,-2572,0.48848619417684347
"Glenwood Springs, CO",NA,45506,41768,-3738,0.47858468730664344
"Gloversville, NY",NA,22863,20911,-1952,0.4777036597066752
"Goldsboro, NC",RALEIGH,41547,39625,-1922,0.48816094219681666
"Granbury, TX",NA,25189,29989,4800,0.5434955960708978
"Grand Forks, ND-MN",NA,56549,41901,-14648,0.425606907059421
"Grand Island, NE",NA,34536,27203,-7333,0.44061290270331555
"Grand Junction, CO",NA,86264,80088,-6176,0.48143695296720207
"Grand Rapids-Kentwood, MI",NA,478634,414615,-64019,0.464165087226518
"Grand Rapids, MN",NA,18250,17472,-778,0.4891103521639326
"Grants Pass, OR",NA,37163,38296,1133,0.5075073881180509
"Grants, NM",NA,3570,3354,-216,0.48440207972270366
"Great Bend, KS",NA,11772,10079,-1693,0.4612603542171983
"Great Falls, MT",NA,39842,36265,-3577,0.4765001905212398
"Greeley, CO",NA,143078,149208,6130,0.5104863045099662
"Green Bay, WI",NA,149879,128563,-21316,0.46172272861134456
"Greeneville, TN",NA,20654,23451,2797,0.5317084230812833
"Greensboro-High Point, NC",NA,305459,282669,-22790,0.4806249659937973
"Greensburg, IN",NA,12469,10510,-1959,0.45737412420035684
"Greenville-Anderson, SC",NA,358957,370039,11082,0.5076008647509725
"Greenville, MS",NA,13559,12172,-1387,0.4730480743072558
"Greenville, NC",NA,67089,63390,-3699,0.4858253052215299
"Greenville, OH",NA,17753,16142,-1611,0.4762354329547131
"Greenwood, MS",NA,8787,7576,-1211,0.4629957831693455
"Greenwood, SC",NA,21318,20345,-973,0.4883229724215731
"Grenada, MS",NA,6954,5623,-1331,0.447085950544645
"Gulfport-Biloxi, MS",NA,177361,168767,-8594,0.4875855174964175
"Guymon, OK",NA,6154,4282,-1872,0.41031046377922575
"Hagerstown-Martinsburg, MD-WV",NA,108298,111007,2709,0.5061763297690431
"Hailey, ID",NA,11001,11746,745,0.5163757858179101
"Hammond, LA",NA,38169,40113,1944,0.5124166475051736
"Hanford-Corcoran, CA",FRESNO,46629,40866,-5763,0.4670666895251157
"Hannibal, MO",NA,17345,14166,-3179,0.44955729745168355
"Harrisburg-Carlisle, PA",NA,243280,237402,-5878,0.4938857706342239
"Harrison, AR",NA,17029,16695,-334,0.4950480370062863
"Harrisonburg, VA",NA,43738,40478,-3260,0.48064500807447513
"Hartford-East Hartford-Middletown, CT",NA,474994,459875,-15119,0.49191384033484903
"Hastings, NE",NA,14323,10964,-3359,0.43358247320757703
"Hattiesburg, MS",NA,61313,56232,-5081,0.4783870007231273
"Hays, KS",NA,14419,12054,-2365,0.45533184754277944
"Heber, UT",NA,35520,38207,2687,0.5182226321429055
"Helena-West Helena, AR",NA,5773,4900,-873,0.4591024079452825
"Helena, MT",NA,39091,39134,43,0.5002748481943112
"Henderson, NC",RALEIGH,14611,12378,-2233,0.458631294230983
"Hereford, TX",NA,4998,4145,-853,0.45335229137044736
"Hermiston-Pendleton, OR",NA,35516,29709,-5807,0.45548486009965505
"Hickory-Lenoir-Morganton, NC",NA,106690,109287,2597,0.5060122142635558
"Hillsdale, MI",NA,17748,16529,-1219,0.4822183971759489
"Hilo, HI",NA,69977,72884,2907,0.510174225295917
"Hilton Head Island-Bluffton, SC",NA,102321,117749,15428,0.5350524833007679
"Hinesville, GA",NA,47225,44340,-2885,0.48424616392726477
"Hobbs, NM",NA,20766,17861,-2905,0.46239676909933464
"Holland, MI",NA,40352,38222,-2130,0.4864458981342429
"Homosassa Springs, FL",NA,92600,107520,14920,0.537277633419948
"Hood River, OR",NA,9763,9580,-183,0.4952696065760223
"Hope, AR",NA,8033,6625,-1408,0.4519716195933961
"Hot Springs, AR",NA,55036,52162,-2874,0.4865948991585664
"Houghton, MI",NA,16404,13987,-2417,0.4602349379750584
"Houma-Thibodaux, LA",NA,59834,53351,-6483,0.47136104607500995
"Houston-The Woodlands-Sugar Land, TX",HOUSTON,2504161,2553001,48840,0.5048287952808315
"Hudson, NY",NA,19850,22365,2515,0.5297879900509298
"Huntingdon, PA",NA,9797,9206,-591,0.4844498237120455
"Huntington-Ashland, WV-KY-OH",NA,112193,101744,-10449,0.47557925931465805
"Huntington, IN",NA,17609,14970,-2639,0.4594984499217287
"Huntsville, AL",NA,189404,201121,11717,0.5150016004097049
"Huntsville, TX",HOUSTON,22205,21702,-503,0.49427198396611016
"Huron, SD",NA,8709,7397,-1312,0.45926983732770393
"Hutchinson, KS",NA,32001,26165,-5836,0.4498332359110133
"Hutchinson, MN",NA,14601,12937,-1664,0.46978720313748273
"Idaho Falls, ID",NA,60059,60058,-1,0.49999583739187625
"Indiana, PA",NA,22940,21575,-1365,0.4846680894080647
"Indianapolis-Carmel-Anderson, IN",NA,1017212,969386,-47826,0.487962838984032
"Indianola, MS",NA,4682,4194,-488,0.4725101397025687
"Iowa City, IA",NA,91312,76743,-14569,0.4566540715837077
"Iron Mountain, MI-WI",NA,11889,10936,-953,0.4791237677984666
"Ithaca, NY",NA,49715,41010,-8705,0.4520253513364563
"Jackson, MI",NA,66113,59233,-6880,0.4725559650886347
"Jackson, MS",NA,184414,175330,-9084,0.4873743550969578
"Jackson, OH",NA,10238,10059,-179,0.4955904813519239
"Jackson, TN",NA,68090,66803,-1287,0.49522955231183236
"Jackson, WY-ID",NA,18014,16891,-1123,0.4839134794442057
"Jacksonville, FL",NA,791824,848319,56495,0.5172225836405728
"Jacksonville, IL",NA,13060,12443,-617,0.48790338391561777
"Jacksonville, NC",NA,117088,106557,-10531,0.47645599052069126
"Jacksonville, TX",NA,12163,11438,-725,0.4846404813355366
"Jamestown-Dunkirk-Fredonia, NY",NA,58531,53824,-4707,0.47905300164656667
"Jamestown, ND",NA,8422,7329,-1093,0.4653037902355406
"Janesville-Beloit, WI",NA,72317,64170,-8147,0.4701546667448182
"Jasper, AL",NA,19298,18742,-556,0.4926919032597266
"Jasper, IN",NA,18415,17178,-1237,0.4826229876661141
"Jefferson City, MO",NA,51027,47601,-3426,0.48263170702031877
"Jefferson, GA",NA,25697,32669,6972,0.5597265531302471
"Jennings, LA",NA,8790,8324,-466,0.4863854154493397
"Jesup, GA",NA,11752,10492,-1260,0.47167775579931664
"Johnson City, TN",NA,78630,79497,867,0.5027414673015993
"Johnstown, PA",NA,36783,34173,-2610,0.48160832064941655
"Jonesboro, AR",NA,67182,56771,-10411,0.4580042435439239
"Joplin, MO",NA,83978,76303,-7675,0.47605767371054586
"Juneau, AK",NA,12000,10752,-1248,0.47257383966244726
