cbsa_title,DMA,outbound,inbound,netgain,pct_inbound
"Aberdeen, SD",NA,19682,15490,-4192,0.44040714204480835
"Aberdeen, WA",NA,35023,32108,-2915,0.47828871907166587
"Abilene, TX",NA,81356,73465,-7891,0.4745157310700745
"Ada, OK",NA,14342,13692,-650,0.48840693443675537
"Adrian, MI",NA,36444,32205,-4239,0.4691255517196172
"Akron, OH",NA,264286,252827,-11459,0.4889202166644428
"Alamogordo, NM",NA,26922,26415,-507,0.49524720175487935
"Albany-Lebanon, OR",NA,60433,60310,-123,0.49949065370249207
"Albany-Schenectady-Troy, NY",NA,376359,349863,-26496,0.48175764435668433
"Albany, GA",NA,54902,52776,-2126,0.4901279741451364
"Albemarle, NC",NA,17210,20078,2868,0.5384574125724093
"Albert Lea, MN",NA,11206,10012,-1194,0.47186351211235744
"Albertville, AL",NA,32499,31967,-532,0.4958737939378897
"Albuquerque, NM",NA,354247,343581,-10666,0.49235771565486053
"Alexander City, AL",NA,13615,12814,-801,0.4848461916833781
"Alexandria, LA",NA,52429,48876,-3553,0.4824638467992695
"Alexandria, MN",NA,18834,17275,-1559,0.4784125841203024
"Alice, TX",NA,10459,9408,-1051,0.4735491015251422
"Allentown-Bethlehem-Easton, PA-NJ",NEW YORK,309530,299893,-9637,0.492093340750185
"Alma, MI",NA,15748,13617,-2131,0.4637153073386685
"Alpena, MI",NA,13367,11295,-2072,0.45799205255048253
"Altoona, PA",NA,42942,39669,-3273,0.48019028942876857
"Altus, OK",NA,9870,9164,-706,0.48145423978144375
"Amarillo, TX",NA,105200,97922,-7278,0.4820846584811099
"Americus, GA",NA,9621,8743,-878,0.4760945327815291
"Ames, IA",NA,66146,52673,-13473,0.44330452200405657
"Amsterdam, NY",NA,21963,20218,-1745,0.47931533154737915
"Anchorage, AK",NA,176624,165059,-11565,0.48307641878583363
"Andrews, TX",NA,6435,4831,-1604,0.4288123557606959
"Angola, IN",NA,19310,15923,-3387,0.4519342661709193
"Ann Arbor, MI",NA,168753,139569,-29184,0.4526728550022379
"Anniston-Oxford, AL",NA,41620,39643,-1977,0.4878357924270578
"Appleton, WI",NA,95658,85920,-9738,0.47318507748736083
"Arcadia, FL",NA,14749,21800,7051,0.5964595474568387
"Ardmore, OK",NA,23775,21898,-1877,0.47945175486611347
"Arkadelphia, AR",NA,10392,8676,-1716,0.4550031466331026
"Asheville, NC",NA,208317,217532,9215,0.5108195628027775
"Ashland, OH",NA,16572,15697,-875,0.48644209612941214
"Ashtabula, OH",NA,37288,34254,-3034,0.4787956724721143
"Astoria, OR",NA,22533,21016,-1517,0.4825828377230246
"Atchison, KS",NA,6351,5225,-1126,0.45136489288182446
"Athens-Clarke County, GA",NA,76859,70367,-6492,0.47795226386643663
"Athens, OH",NA,23936,19867,-4069,0.45355340958381846
"Athens, TN",NA,19085,20736,1651,0.5207302679490721
"Athens, TX",NA,36980,38947,1967,0.512953231393312
"Atlanta-Sandy Springs-Alpharetta, GA",NA,2568567,2578071,9504,0.5009233212050275
"Atlantic City-Hammonton, NJ",PHILADELPHIA,99001,100299,1298,0.503256397390868
"Atmore, AL",NA,10738,9842,-896,0.4782312925170068
"Auburn-Opelika, AL",NA,60527,56998,-3529,0.4849861731546479
"Auburn, IN",NA,17961,15811,-2150,0.4681688973113822
"Auburn, NY",NA,30531,27033,-3498,0.4696164269335001
"Augusta-Richmond County, GA-SC",NA,228685,232035,3350,0.5036356138218441
"Augusta-Waterville, ME",NA,55820,54354,-1466,0.4933468876504438
"Austin-Round Rock-Georgetown, TX",NA,1171099,1198818,27719,0.5058480951020647
"Austin, MN",NA,15218,13900,-1318,0.47736795109554225
"Bainbridge, GA",NA,9272,8867,-405,0.48883620927283755
"Bakersfield, CA",NA,284224,269926,-14298,0.4870991608770189
"Baltimore-Columbia-Towson, MD",NA,1103182,1056765,-46417,0.48925506042509376
"Bangor, ME",NA,68686,63806,-4880,0.48158379373848986
"Baraboo, WI",NA,27752,25612,-2140,0.4799490293081478
"Bardstown, KY",NA,17432,16754,-678,0.4900836599777687
"Barnstable Town, MA",NA,137946,142407,4461,0.5079560411338563
"Barre, VT",NA,25965,25469,-496,0.4951782867364
"Bartlesville, OK",NA,20758,19575,-1183,0.4853345895420623
"Batavia, NY",NA,20551,18179,-2372,0.4693777433514072
"Batesville, AR",NA,22555,22149,-406,0.49545901932712955
"Baton Rouge, LA",NA,259734,250830,-8904,0.49128023127365034
"Battle Creek, MI",NA,64706,54972,-9734,0.4593325423218971
"Bay City, MI",NA,40132,36219,-3913,0.4743749263270946
"Bay City, TX",HOUSTON,12969,11225,-1744,0.46395800611721916
"Beatrice, NE",NA,8829,7263,-1566,0.4513422818791946
"Beaumont-Port Arthur, TX",NA,137357,126626,-10731,0.47967482754571317
"Beaver Dam, WI",NA,33248,29737,-3511,0.4721282845121854
"Beckley, WV",NA,25306,22747,-2559,0.4733731504796787
"Bedford, IN",NA,19073,17072,-2001,0.4723198229353991
"Beeville, TX",NA,6819,6301,-518,0.48025914634146344
"Bellefontaine, OH",NA,17221,16006,-1215,0.48171667619706865
"Bellingham, WA",NA,110155,105575,-4580,0.48938487924720714
"Bemidji, MN",NA,18846,16591,-2255,0.46818297259926067
"Bend, OR",NA,116003,120864,4861,0.5102610325625773
"Bennettsville, SC",NA,6648,6114,-534,0.4790785143394452
"Bennington, VT",NA,16100,15377,-723,0.488515423960352
"Berlin, NH",NA,15450,14344,-1106,0.48143921594952005
"Big Rapids, MI",NA,20357,18602,-1755,0.47747632126081263
"Big Spring, TX",NA,11119,9615,-1504,0.4637310697405228
"Big Stone Gap, VA",NA,11805,9968,-1837,0.4578147246589813
"Billings, MT",NA,96900,86801,-10099,0.4725123978639202
