city,state,outbound,inbound,netgain,pct_inbound
29 PALMS,CA,1861,1447,-414,0.43742442563482464
6609 GAZEBO DR,MO,52,51,-1,0.49514563106796117
7185 WEST CREEK ROAD,NY,15,0,-15,0
AARONSBURG,PA,67,13,-54,0.1625
ABBEVILLE,AL,2118,2226,108,0.5124309392265194
ABBEVILLE,GA,544,578,34,0.5151515151515151
ABBEVILLE,LA,8010,7492,-518,0.48329247838988515
ABBEVILLE,MS,342,318,-24,0.4818181818181818
ABBEVILLE,SC,3213,3329,116,0.5088657902782023
ABBOT,ME,205,247,42,0.5464601769911505
ABBOTSFORD,WI,1272,1128,-144,0.47
ABBOTT,TX,34,88,54,0.7213114754098361
ABBOTTSTOWN,PA,1290,1406,116,0.521513353115727
ABBYVILLE,KS,15,11,-4,0.4230769230769231
ABER PROV GRD,MD,373,301,-72,0.4465875370919881
ABERDEEN,ID,747,599,-148,0.4450222882615156
ABERDEEN,MD,10850,11810,960,0.5211827007943513
ABERDEEN,MS,2585,2635,50,0.5047892720306514
ABERDEEN,NC,5807,6394,587,0.524055405294648
ABERDEEN,NJ,1125,1109,-16,0.4964189794091316
ABERDEEN,OH,1152,1011,-141,0.46740638002773927
ABERDEEN,SD,18406,14353,-4053,0.43813913733630455
ABERDEEN,WA,10874,9240,-1634,0.4593815253057572
ABERDEEN PROVING GROUND,MD,1486,1268,-218,0.46042120551924476
ABERNATHY,TX,798,799,1,0.5003130870381967
ABIE,NE,29,24,-5,0.4528301886792453
ABILENE,KS,4877,4229,-648,0.4644190643531737
ABILENE,TX,65689,56821,-8868,0.46380703616031344
ABINGDON,IL,1733,1460,-273,0.4572502348888193
ABINGDON,MD,11885,11110,-775,0.4831485105457708
ABINGDON,VA,8638,8755,117,0.5033634220663485
ABINGTON,MA,5144,5200,56,0.502706883217324
ABINGTON,PA,3869,3567,-302,0.4796933835395374
ABIQUIU,NM,262,213,-49,0.44842105263157894
ABITA SPRINGS,LA,2209,2532,323,0.5340645433452859
ABQ,NM,370,374,4,0.5026881720430108
ABRAMS,WI,553,687,134,0.5540322580645162
ABSAROKEE,MT,895,575,-320,0.391156462585034
ABSECON,NJ,4387,4518,131,0.5073554183043234
ACAMPO,CA,1724,1772,48,0.5068649885583524
ACCIDENT,MD,440,360,-80,0.45
ACCOKEEK,MD,3280,3919,639,0.5443811640505626
ACCOMAC,VA,303,320,17,0.5136436597110754
ACCORD,MA,11,11,0,0.5
ACCORD,NY,1378,1696,318,0.5517241379310345
ACKERMAN,MS,1111,1042,-69,0.4839758476544357
ACKLEY,IA,967,683,-284,0.41393939393939394
ACKWORTH,IA,0,24,24,1
ACME,MI,494,415,-79,0.45654565456545654
ACME,PA,651,602,-49,0.48044692737430167
ACME,WA,25,22,-3,0.46808510638297873
ACOMA,NM,0,12,12,1
ACRA,NY,73,35,-38,0.32407407407407407
ACTON,CA,2682,2774,92,0.5084310850439883
ACTON,MA,8020,7828,-192,0.4939424533064109
ACTON,ME,1135,1425,290,0.556640625
ACUSHNET,MA,2476,2601,125,0.5123104195390978
ACWORTH,GA,36231,37298,1067,0.5072556406315876
ACWORTH,NH,11,78,67,0.8764044943820225
ADA,MI,5424,5785,361,0.516103131412258
ADA,MN,809,698,-111,0.46317186463171867
ADA,OH,2858,2191,-667,0.43394731630025746
ADA,OK,13178,12478,-700,0.48635796694730277
ADAH,PA,17,12,-5,0.41379310344827586
ADAIR,IA,314,301,-13,0.4894308943089431
ADAIR,IL,24,0,-24,0
ADAIR,OK,1051,926,-125,0.4683864441072332
ADAIRSVILLE,GA,5266,5834,568,0.5255855855855855
ADAIRVILLE,KY,558,424,-134,0.4317718940936864
ADAMANT,VT,13,0,-13,0
ADAMS,MA,3782,3316,-466,0.4671738517892364
ADAMS,MN,325,219,-106,0.4025735294117647
ADAMS,ND,11,0,-11,0
ADAMS,NE,158,184,26,0.5380116959064327
ADAMS,NY,2033,1699,-334,0.4552518756698821
ADAMS,OR,59,27,-32,0.313953488372093
ADAMS,TN,1491,1718,227,0.5353692739171081
ADAMS,WI,1819,1651,-168,0.47579250720461097
ADAMS CENTER,NY,1092,901,-191,0.4520822880080281
ADAMS COUNTY,OH,37,38,1,0.5066666666666667
ADAMS RUN,SC,171,214,43,0.5558441558441558
ADAMSBURG,PA,0,11,11,1
ADAMSTOWN,MD,879,1065,186,0.5478395061728395
ADAMSTOWN,PA,413,198,-215,0.32405891980360063
ADAMSVILLE,AL,2385,2244,-141,0.4847699287103046
