city,state,outbound,inbound,netgain,pct_inbound
ADAMSVILLE,OH,26,44,18,0.6285714285714286
ADAMSVILLE,RI,0,12,12,1
ADAMSVILLE,TN,2245,2477,232,0.524565861922914
ADDIEVILLE,IL,0,11,11,1
ADDIS,LA,2100,2515,415,0.5449620801733478
ADDISON,AL,487,474,-13,0.49323621227887615
ADDISON,IL,11590,10478,-1112,0.474805147725213
ADDISON,ME,567,563,-4,0.4982300884955752
ADDISON,MI,992,839,-153,0.4582195521572911
ADDISON,NY,2147,1940,-207,0.4746758013212625
ADDISON,PA,109,24,-85,0.18045112781954886
ADDISON,TX,20204,18488,-1716,0.4778248733588339
ADDISON TOWNSHIP,MI,74,76,2,0.5066666666666667
ADDISON TWP,MI,45,25,-20,0.35714285714285715
ADDY,WA,517,558,41,0.5190697674418605
ADDYSTON,OH,201,122,-79,0.37770897832817335
ADEL,GA,4030,4137,107,0.5065507530304886
ADEL,IA,3179,3527,348,0.5259469132120489
ADELANTO,CA,12516,11845,-671,0.48622798735684086
ADELL,WI,431,202,-229,0.31911532385466035
ADELPHI,MD,3092,2153,-939,0.41048617731172543
ADELPHI,OH,0,11,11,1
ADELPHIA,NJ,0,12,12,1
ADENA,OH,229,241,12,0.5127659574468085
ADGER,AL,770,747,-23,0.4924192485168095
ADIRONDACK,NY,478,373,-105,0.4383078730904818
ADKINS,TX,1923,2575,652,0.5724766562916852
ADOLPHUS,KY,1018,848,-170,0.45444801714898175
ADONA,AR,25,12,-13,0.32432432432432434
ADRIAN,GA,542,633,91,0.5387234042553192
ADRIAN,MI,16985,14663,-2322,0.4633152173913043
ADRIAN,MN,445,264,-181,0.3723554301833568
ADRIAN,MO,1162,1198,36,0.5076271186440678
ADRIAN,OR,11,42,31,0.7924528301886793
ADRIAN,PA,74,55,-19,0.4263565891472868
ADVANCE,IN,0,12,12,1
ADVANCE,MO,1419,1190,-229,0.45611345343043314
ADVANCE,NC,3514,4636,1122,0.5688343558282208
AFFTON,MO,573,610,37,0.5156382079459002
AFTON,IA,555,421,-134,0.43135245901639346
AFTON,MI,132,77,-55,0.3684210526315789
AFTON,MN,925,939,14,0.503755364806867
AFTON,NY,1156,1105,-51,0.48872180451127817
AFTON,OK,2884,2656,-228,0.47942238267148013
AFTON,TN,1308,1490,182,0.5325232308791994
AFTON,VA,989,1099,110,0.5263409961685823
AFTON,WY,1621,1627,6,0.5009236453201971
AGATE,CO,0,11,11,1
AGAWAM,MA,6411,6504,93,0.5036004645760743
AGENCY,IA,224,135,-89,0.37604456824512533
AGENCY,MO,142,140,-2,0.49645390070921985
AGOURA,CA,173,248,75,0.5890736342042755
AGOURA HILLS,CA,8174,8950,776,0.5226582574164915
AGRA,OK,177,201,24,0.5317460317460317
AGUA DULCE,CA,844,873,29,0.5084449621432732
AGUA DULCE,TX,0,20,20,1
AGUANGA,CA,1788,1723,-65,0.49074337795499856
AGUILA,AZ,283,362,79,0.5612403100775194
AGUILAR,CO,239,277,38,0.5368217054263565
AHMEEK,MI,24,0,-24,0
AHOSKIE,NC,3212,2787,-425,0.46457742957159526
AHWAHNEE,CA,532,507,-25,0.4879692011549567
AIEA,HI,13320,11870,-1450,0.47121873759428345
AIKEN,SC,27529,30001,2472,0.5214844428993568
AILEY,GA,94,205,111,0.68561872909699
AINSWORTH,IA,235,197,-38,0.45601851851851855
AINSWORTH,NE,1214,1083,-131,0.4714845450587723
AIRMONT,NY,2537,1895,-642,0.427572202166065
AIRVILLE,PA,678,670,-8,0.4970326409495549
AIRWAY HEIGHTS,WA,4778,4596,-182,0.4902922978451035
AITKIN,MN,5293,4750,-543,0.47296624514587277
AJO,AZ,3167,3295,128,0.5099040544722996
AKELEY,MN,833,822,-11,0.49667673716012084
AKRON,AL,80,119,39,0.5979899497487438
AKRON,CO,1391,1093,-298,0.44001610305958133
AKRON,IA,812,752,-60,0.48081841432225064
AKRON,IN,937,747,-190,0.44358669833729214
AKRON,MI,363,391,28,0.5185676392572944
AKRON,NY,3423,3522,99,0.5071274298056155
AKRON,OH,102976,93712,-9264,0.47645001220206623
AKRON,PA,1866,1557,-309,0.4548641542506573
AKWESASNE,NY,56,55,-1,0.4954954954954955
ALABASTER,AL,8830,8840,10,0.5002829654782116
ALABASTER,MI,39,85,46,0.6854838709677419
ALACHUA,FL,5667,6684,1017,0.5411707554044207
ALAFAYA,FL,356,318,-38,0.47181008902077154
ALAMANCE,NC,12,0,-12,0
ALAMEDA,CA,31809,29668,-2141,0.48258698375002035
ALAMEDA,NM,0,13,13,1
ALAMO,CA,3836,4822,986,0.5569415569415569
ALAMO,GA,333,402,69,0.5469387755102041
ALAMO,NM,12,13,1,0.52
ALAMO,NV,38,41,3,0.5189873417721519
ALAMO,TN,1805,1601,-204,0.47005284791544333
ALAMO,TX,6554,10213,3659,0.6091131389037991
ALAMOGORDO,NM,18728,17974,-754,0.48972808021361236
ALAMOSA,CO,7434,6792,-642,0.47743568114719526
ALANSON,MI,2329,2305,-24,0.4974104445403539
ALAPAHA,GA,277,362,85,0.5665101721439749
ALBA,MO,0,26,26,1
ALBA,TX,1759,2093,334,0.5433541017653167
ALBANY,CA,9467,8203,-1264,0.4642331635540464
ALBANY,GA,38568,36525,-2043,0.4863968678838241
ALBANY,IL,102,103,1,0.5024390243902439
ALBANY,IN,1417,1399,-18,0.4968039772727273
ALBANY,KY,2933,2992,59,0.5049789029535865
ALBANY,LA,1690,1681,-9,0.49866508454464553
ALBANY,MN,1266,1304,38,0.5073929961089494
ALBANY,MO,1037,1007,-30,0.4926614481409002
ALBANY,NH,260,244,-16,0.48412698412698413
ALBANY,NY,71375,61761,-9614,0.4638940632135561
ALBANY,OH,1603,1543,-60,0.49046408137317227
ALBANY,OR,28545,29573,1028,0.5088440758456932
ALBANY,TX,708,562,-146,0.44251968503937006
ALBANY,WI,793,855,62,0.5188106796116505
ALBANY TWP,ME,75,76,1,0.5033112582781457
ALBEMARLE,NC,8462,8995,533,0.5152660823738329
ALBERS,IL,176,88,-88,0.3333333333333333
ALBERT CITY,IA,129,102,-27,0.44155844155844154
ALBERT LEA,MN,10650,9355,-1295,0.46763309172706824
ALBERTA,AL,11,12,1,0.5217391304347826
ALBERTA,VA,126,166,40,0.5684931506849316
ALBERTON,MT,617,724,107,0.5398956002982849
ALBERTSON,NC,74,137,63,0.6492890995260664
ALBERTSON,NY,1732,1686,-46,0.49327091866588646
ALBERTVILLE,AL,9279,8965,-314,0.4913944310458233
ALBERTVILLE,MN,3129,3369,240,0.5184672206832872
ALBIA,IA,2320,2355,35,0.5037433155080214
ALBIN,WY,23,0,-23,0
ALBION,CA,63,49,-14,0.4375
ALBION,IA,29,24,-5,0.4528301886792453
ALBION,ID,14,0,-14,0
ALBION,IL,1468,1177,-291,0.4449905482041588
ALBION,IN,2811,2645,-166,0.4847873900293255
ALBION,ME,711,559,-152,0.4401574803149606
ALBION,MI,5181,4806,-375,0.48122559327125264
ALBION,NE,1112,979,-133,0.4681970349115256
ALBION,NY,4764,4207,-557,0.4689555233530264
ALBION,PA,1330,1222,-108,0.4788401253918495
ALBION,RI,225,174,-51,0.43609022556390975
ALBION,WA,106,13,-93,0.1092436974789916
ALBRIGHT,WV,318,198,-120,0.38372093023255816
ALBRIGHTSVILLE,PA,3362,2920,-442,0.46482012098057945
ALBRIGHTSVLLE,PA,159,160,1,0.5015673981191222
ALBUQUERQUE,NM,278734,263777,-14957,0.48621502605477124
ALBURG,VT,66,75,9,0.5319148936170213
ALBURGH,VT,1332,1158,-174,0.4650602409638554
ALBURNETT,IA,150,109,-41,0.42084942084942084
ALBURTIS,PA,1732,1572,-160,0.47578692493946734
ALCALDE,NM,14,42,28,0.75
ALCESTER,SD,512,379,-133,0.42536475869809204
ALCOA,TN,3511,3767,256,0.5175872492442979
ALCOLU,SC,170,312,142,0.6473029045643154
ALCOVA,WY,11,41,30,0.7884615384615384
ALDA,NE,448,208,-240,0.3170731707317073
ALDAN,PA,1248,716,-532,0.3645621181262729
ALDEN,IA,527,372,-155,0.41379310344827586
ALDEN,MI,938,513,-425,0.35354927636113026
ALDEN,MN,131,171,40,0.5662251655629139
ALDEN,NY,2883,2803,-80,0.49296517762926484
ALDERSON,WV,1205,1257,52,0.5105605199025183
ALDIE,VA,7672,11323,3651,0.5961042379573572
ALDRICH,MO,46,49,3,0.5157894736842106
ALEDO,IL,2225,1845,-380,0.4533169533169533
ALEDO,TX,6020,9567,3547,0.6137807146981459
ALEX,OH,18,13,-5,0.41935483870967744
ALEX,OK,33,35,2,0.5147058823529411
ALEX BAY,NY,80,36,-44,0.3103448275862069
ALEX CITY,AL,89,33,-56,0.27049180327868855
ALEXANDER,AR,5825,6809,984,0.5389425360139307
ALEXANDER,IA,11,0,-11,0
ALEXANDER,ME,258,216,-42,0.45569620253164556
ALEXANDER,NC,1245,1331,86,0.5166925465838509
ALEXANDER,ND,404,267,-137,0.3979135618479881
ALEXANDER,NY,460,397,-63,0.4632438739789965
ALEXANDER CITY,AL,7558,6402,-1156,0.45859598853868194
ALEXANDRIA,AL,1210,1298,88,0.5175438596491229
ALEXANDRIA,IN,4460,3947,-513,0.4694897109551564
ALEXANDRIA,KY,5090,6114,1024,0.5456979650124956
ALEXANDRIA,LA,24762,22528,-2234,0.47637978430957917
ALEXANDRIA,MN,14887,13655,-1232,0.47841777030341254
ALEXANDRIA,MO,38,11,-27,0.22448979591836735
ALEXANDRIA,NH,454,456,2,0.5010989010989011
ALEXANDRIA,OH,509,633,124,0.5542907180385289
ALEXANDRIA,PA,583,425,-158,0.42162698412698413
ALEXANDRIA,SD,11,12,1,0.5217391304347826
ALEXANDRIA,TN,793,926,133,0.5386852821407795
ALEXANDRIA,VA,208718,189001,-19717,0.4752123987036073
ALEXANDRIA BAY,NY,2119,1682,-437,0.44251512759800055
ALEXIS,IL,432,277,-155,0.3906911142454161
ALEXIS,NC,16,120,104,0.8823529411764706
ALFORD,FL,1027,1158,131,0.5299771167048055
ALFORD,MA,14,0,-14,0
ALFRED,ME,466,704,238,0.6017094017094017
ALFRED,NY,643,267,-376,0.2934065934065934
ALFRED STA,NY,16,0,-16,0
ALFRED STATION,NY,355,277,-78,0.43829113924050633
ALGER,MI,1480,1481,1,0.5001688618709895
ALGER,OH,753,482,-271,0.3902834008097166
ALGODONES,NM,12,24,12,0.6666666666666666
ALGOMA,WI,2209,2006,-203,0.4759193357058126
ALGONA,IA,4001,3457,-544,0.4635290962724591
ALGONA,WA,533,494,-39,0.4810126582278481
ALGONAC,MI,2604,2171,-433,0.45465968586387434
ALGONQUIN,IL,10186,10462,276,0.5066834560247966
ALHAMBRA,CA,28597,24619,-3978,0.4626240228502706
ALHAMBRA,IL,174,154,-20,0.4695121951219512
ALICE,TX,8041,7143,-898,0.4704293993677555
ALICEVILLE,AL,1127,1108,-19,0.49574944071588367
ALICIA,AR,0,13,13,1
ALIEF,TX,171,469,298,0.7328125
ALINE,OK,0,11,11,1
ALIQUIPPA,PA,10342,9722,-620,0.4845494417862839
ALISO VIEJO,CA,19975,19644,-331,0.4958227113253742
ALKOL,WV,24,36,12,0.6
ALLAGASH,ME,22,13,-9,0.37142857142857144
ALLARDT,TN,136,169,33,0.5540983606557377
ALLEGAN,MI,7857,7290,-567,0.48128342245989303
ALLEGANY,NY,2127,2009,-118,0.4857350096711799
ALLEN,KS,12,0,-12,0
ALLEN,KY,504,129,-375,0.2037914691943128
ALLEN,MI,290,305,15,0.5126050420168067
ALLEN,NE,25,11,-14,0.3055555555555556
ALLEN,OK,456,507,51,0.5264797507788161
ALLEN,SD,30,0,-30,0
ALLEN,TX,39030,46385,7355,0.5430544986243634
ALLEN PARK,MI,8044,7489,-555,0.4821348097598661
ALLENDALE,IL,50,23,-27,0.3150684931506849
ALLENDALE,MI,11421,6954,-4467,0.3784489795918367
ALLENDALE,NJ,1576,1899,323,0.5464748201438849
ALLENDALE,SC,1326,1231,-95,0.4814235432147047
ALLENHURST,GA,2434,2325,-109,0.48854801428871614
ALLENHURST,NJ,648,620,-28,0.4889589905362776
ALLENPORT,PA,0,12,12,1
ALLENSPARK,CO,242,252,10,0.5101214574898786
ALLENSTOWN,NH,1566,1514,-52,0.4915584415584416
ALLENSVILLE,KY,12,0,-12,0
ALLENTON,MI,438,511,73,0.5384615384615384
ALLENTON,WI,744,644,-100,0.46397694524495675
ALLENTOWN,NJ,1383,1539,156,0.526694045174538
ALLENTOWN,NY,0,11,11,1
ALLENTOWN,PA,80927,73381,-7546,0.4755489021956088
ALLENVILLE,IL,63,45,-18,0.4166666666666667
ALLENWOOD,NJ,89,198,109,0.6898954703832753
ALLENWOOD,PA,307,186,-121,0.3772819472616633
ALLERTON,IA,82,89,7,0.52046783625731
ALLERTON,IL,24,0,-24,0
ALLEYTON,TX,24,52,28,0.6842105263157895
ALLIANCE,NE,4786,4111,-675,0.46206586489828033
ALLIANCE,OH,14531,12186,-2345,0.45611408466519443
ALLIGATOR POINT,FL,177,253,76,0.5883720930232558
ALLISON,IA,425,408,-17,0.4897959183673469
ALLISON,PA,15,11,-4,0.4230769230769231
ALLISON PARK,PA,6290,6695,405,0.5155949172121679
ALLISONIA,VA,28,11,-17,0.28205128205128205
ALLONS,TN,207,406,199,0.6623164763458401
ALLOUEZ,MI,13,0,-13,0
ALLOWAY,NJ,155,13,-142,0.07738095238095238
ALLSTON,MA,17620,10577,-7043,0.37511082739298507
ALLYN,WA,2045,1956,-89,0.4888777805548613
ALMA,AR,5619,5788,169,0.507407732094328
ALMA,CO,532,125,-407,0.1902587519025875
ALMA,GA,3644,3463,-181,0.48726607570001407
ALMA,IL,26,27,1,0.5094339622641509
ALMA,KS,325,330,5,0.5038167938931297
ALMA,MI,6140,5063,-1077,0.4519325180755155
ALMA,MO,0,11,11,1
ALMA,NE,292,275,-17,0.48500881834215165
ALMA,WI,696,565,-131,0.44805709754163364
ALMA,WV,36,0,-36,0
ALMA CENTER,WI,271,150,-121,0.35629453681710216
ALMENA,KS,48,44,-4,0.4782608695652174
ALMENA,WI,684,623,-61,0.47666411629686306
ALMO,KY,626,609,-17,0.4931174089068826
ALMOND,NC,39,62,23,0.6138613861386139
ALMOND,NY,260,269,9,0.5085066162570888
ALMOND,WI,692,564,-128,0.44904458598726116
ALMONT,CO,331,407,76,0.551490514905149
ALMONT,MI,1799,1815,16,0.5022136137244051
ALNA,ME,60,84,24,0.5833333333333334
ALOHA,OR,5560,5086,-474,0.4777381176028555
ALORTON,IL,108,62,-46,0.36470588235294116
ALPAUGH,CA,11,0,-11,0
ALPENA,AR,460,515,55,0.5282051282051282
ALPENA,AZ,12,19,7,0.6129032258064516
ALPENA,MI,11585,9439,-2146,0.4489630898021309
ALPENA,SD,0,23,23,1
ALPHA,IL,201,122,-79,0.37770897832817335
ALPHA,MI,12,0,-12,0
ALPHARETTA,GA,71507,76895,5388,0.5181533941591083
ALPINE,AL,698,886,188,0.5593434343434344
ALPINE,AZ,617,715,98,0.5367867867867868
ALPINE,CA,8711,7181,-1530,0.4518625723634533
ALPINE,NJ,572,636,64,0.5264900662251656
ALPINE,NY,192,201,9,0.5114503816793893
ALPINE,TN,12,11,-1,0.4782608695652174
ALPINE,TX,3529,3140,-389,0.47083520767731296
ALPINE,UT,2318,2556,238,0.5244152646696758
ALPINE,WY,1152,1144,-8,0.49825783972125437
ALPINE MDWS,CA,18,23,5,0.5609756097560976
ALPINE MEADOWS,CA,85,102,17,0.5454545454545454
ALSEA,OR,153,221,68,0.5909090909090909
ALSIP,IL,5221,4545,-676,0.4653901290190457
ALSTEAD,NH,846,868,22,0.5064177362893816
ALTA,CA,150,125,-25,0.45454545454545453
ALTA,IA,1119,924,-195,0.4522760646108664
ALTA,WY,38,61,23,0.6161616161616161
ALTA LOMA,CA,3728,3606,-122,0.49168257431142626
ALTA VISTA,IA,0,12,12,1
ALTA VISTA,KS,141,82,-59,0.36771300448430494
ALTADENA,CA,8907,9105,198,0.5054963357761493
ALTAMONT,IL,1404,1408,4,0.5007112375533428
ALTAMONT,KS,457,404,-53,0.4692218350754936
ALTAMONT,MO,22,23,1,0.5111111111111111
ALTAMONT,NY,2684,2857,173,0.5156109005594658
ALTAMONT,SD,11,11,0,0.5
ALTAMONT,TN,435,641,206,0.595724907063197
ALTAMONT,UT,12,33,21,0.7333333333333333
ALTAMONTE SPG,FL,651,554,-97,0.4597510373443983
ALTAMONTE SPRINGS,FL,47801,40383,-7418,0.4579402159121836
ALTAVILLE,CA,145,80,-65,0.35555555555555557
ALTAVISTA,VA,1813,1789,-24,0.4966685174902832
ALTHA,FL,1446,1497,51,0.508664627930683
ALTHEIMER,AR,36,11,-25,0.23404255319148937
ALTMAR,NY,1100,845,-255,0.43444730077120824
ALTO,GA,2481,1943,-538,0.4391952983725136
ALTO,MI,2076,2221,145,0.5168722364440307
ALTO,NM,2861,2345,-516,0.4504417979254706
ALTO,TX,984,1063,79,0.5192965315095261
ALTO PASS,IL,120,36,-84,0.23076923076923078
ALTON,IA,304,282,-22,0.4812286689419795
ALTON,IL,13769,11963,-1806,0.4649075081610446
ALTON,ME,277,167,-110,0.3761261261261261
ALTON,MO,1488,1430,-58,0.4900616860863605
ALTON,NH,1743,1859,116,0.5161021654636313
ALTON,TX,1306,1514,208,0.5368794326241135
ALTON,VA,345,317,-28,0.4788519637462236
ALTON BAY,NH,1405,1495,90,0.5155172413793103
ALTONA,IL,27,0,-27,0
ALTONA,NY,507,378,-129,0.4271186440677966
ALTOONA,AL,2022,2138,116,0.5139423076923076
ALTOONA,FL,1867,2038,171,0.5218950064020487
ALTOONA,IA,9662,10506,844,0.5209242364141213
ALTOONA,KS,93,76,-17,0.44970414201183434
ALTOONA,PA,22398,20784,-1614,0.48131165763512573
ALTOONA,WI,4891,4955,64,0.5032500507820434
ALTURA,MN,106,124,18,0.5391304347826087
ALTURAS,CA,2541,2564,23,0.5022526934378061
ALTUS,AR,825,622,-203,0.42985487214927437
ALTUS,OK,9525,8741,-784,0.4785393627504653
ALUM BANK,PA,108,159,51,0.5955056179775281
ALUM CREEK,WV,313,277,-36,0.4694915254237288
ALVA,FL,3929,5409,1480,0.5792460912400942
ALVA,OK,3254,2269,-985,0.4108274488502625
ALVADA,OH,11,24,13,0.6857142857142857
ALVARADO,TX,6234,7529,1295,0.5470464288309235
ALVATON,KY,1345,1911,566,0.586916461916462
ALVIN,IL,11,0,-11,0
ALVIN,TX,15036,16157,1121,0.5179687750456833
ALVIN,WI,0,16,16,1
ALVISO,CA,359,284,-75,0.4416796267496112
ALVORD,TX,1332,1636,304,0.5512129380053908
ALVORDTON,OH,42,26,-16,0.38235294117647056
ALYS BEACH,FL,64,55,-9,0.46218487394957986
AMA,LA,15,104,89,0.8739495798319328
AMADO,AZ,331,333,2,0.5015060240963856
AMAGANSETT,NY,1694,1759,65,0.5094121054155807
AMAGON,AR,18,11,-7,0.3793103448275862
AMANA,IA,511,491,-20,0.49001996007984033
AMANDA,OH,1476,1332,-144,0.47435897435897434
AMARGOSA VALLEY,NV,758,664,-94,0.4669479606188467
AMARILLO,TX,94640,87730,-6910,0.4810549980808247
AMASA,MI,11,0,-11,0
AMAWALK,NY,48,105,57,0.6862745098039216
AMAZONIA,MO,48,26,-22,0.35135135135135137
AMBER,OK,314,54,-260,0.14673913043478262
AMBERG,WI,215,150,-65,0.410958904109589
AMBERLEY,OH,195,204,9,0.5112781954887218
AMBIA,IN,23,0,-23,0
AMBLER,PA,8130,8841,711,0.520947498674209
AMBOY,IL,1715,1419,-296,0.45277600510529675
AMBOY,IN,160,154,-6,0.49044585987261147
AMBOY,MN,154,90,-64,0.36885245901639346
AMBOY,WA,1234,1348,114,0.5220759101471727
AMBRIDGE,PA,6050,4457,-1593,0.42419339487960406
AMBROSE,GA,150,157,7,0.511400651465798
AMELIA,LA,27,27,0,0.5
AMELIA,OH,9971,9783,-188,0.4952414700820087
AMELIA COURT HOUSE,VA,2710,3007,297,0.5259751617981459
AMELIA CT HSE,VA,49,56,7,0.5333333333333333
AMELIA ISLAND,FL,332,419,87,0.5579227696404794
AMENIA,NY,717,775,58,0.5194369973190348
AMERICAN CANYON,CA,4685,4699,14,0.5007459505541347
AMERICAN CYN,CA,251,238,-13,0.4867075664621677
AMERICAN FALLS,ID,2262,1740,-522,0.43478260869565216
AMERICAN FLS,ID,264,163,-101,0.38173302107728335
AMERICAN FORK,UT,10489,12427,1938,0.5422848664688428
AMERICUS,GA,8083,7176,-907,0.470279834851563
AMERICUS,KS,148,135,-13,0.47703180212014135
AMERY,WI,3677,3592,-85,0.4941532535424405
AMES,IA,44926,33401,-11525,0.4264302220179504
AMES,NE,0,12,12,1
AMESBURY,MA,7438,6823,-615,0.478437697216184
AMESVILLE,OH,48,63,15,0.5675675675675675
AMHERST,MA,13889,10110,-3779,0.42126755281470063
AMHERST,NE,27,0,-27,0
AMHERST,NH,3708,4073,365,0.5234545688214882
AMHERST,NY,8100,7374,-726,0.4765412950756107
AMHERST,OH,5941,6540,599,0.523996474641455
AMHERST,TX,0,24,24,1
AMHERST,VA,2457,2683,226,0.5219844357976654
AMHERST,WI,1047,1076,29,0.5068299576071597
AMHERST JCT,WI,14,43,29,0.7543859649122807
AMHERST JUNCTION,WI,101,145,44,0.5894308943089431
AMHERSTDALE,WV,14,16,2,0.5333333333333333
AMISSVILLE,VA,1322,1486,164,0.5292022792022792
AMITE,LA,2522,2813,291,0.5272727272727272
AMITY,AR,1087,1182,95,0.5209343323049802
AMITY,ME,14,49,35,0.7777777777777778
AMITY,OR,1569,1571,2,0.5003184713375797
AMITY,PA,23,25,2,0.5208333333333334
AMITYVILLE,NY,9587,8371,-1216,0.46614322307606637
AMMON,ID,6589,6664,75,0.5028295480268619
AMO,IN,11,0,-11,0
AMORY,MS,3626,3763,137,0.5092705372851536
AMSTERDAM,MO,13,0,-13,0
AMSTERDAM,NY,12917,11966,-951,0.48089056785757345
AMSTERDAM,OH,244,270,26,0.5252918287937743
AMSTON,CT,943,1121,178,0.5431201550387597
ANACOCO,LA,1293,1343,50,0.5094840667678301
ANACONDA,MT,4447,4280,-167,0.4904319926664375
ANACORTES,WA,11550,12280,730,0.5153168275283256
ANADARKO,OK,2499,2420,-79,0.4919699125838585
ANAHEIM,CA,114798,101797,-13001,0.46998776518386853
ANAHOLA,HI,759,319,-440,0.29591836734693877
ANAHUAC,TX,1231,1217,-14,0.497140522875817
ANAMOOSE,ND,11,0,-11,0
ANAMOSA,IA,3388,3172,-216,0.48353658536585364
ANATONE,WA,11,0,-11,0
ANC,AK,34,42,8,0.5526315789473685
ANCHO,NM,11,0,-11,0
ANCHOR POINT,AK,1344,940,-404,0.4115586690017513
ANCHORAGE,AK,118374,105877,-12497,0.4721361331722044
ANCHORAGE,KY,255,256,1,0.5009784735812133
ANCRAM,NY,157,388,231,0.7119266055045872
ANCRAMDALE,NY,23,255,232,0.9172661870503597
ANDALE,KS,250,284,34,0.5318352059925093
ANDALUSIA,AL,7969,7353,-616,0.4798981856154549
ANDALUSIA,IL,187,143,-44,0.43333333333333335
ANDALUUA,AL,45,57,12,0.5588235294117647
ANDERSON,AL,408,275,-133,0.40263543191800877
ANDERSON,CA,10581,9492,-1089,0.4728740098639964
ANDERSON,IN,39024,34465,-4559,0.4689817523711032
ANDERSON,MO,2307,2082,-225,0.47436773752563227
